No,Chinese,Pinyin,English,Level
1,爱,ài,to love,1
2,八,bā,8,1
3,爸爸,bà ba,dad,1
4,北京,Běi jīng,Beijing,1
5,杯子,bēi zi,"cup, glass",1
6,本,běn,"root, basis, foundation, origin, capital Measure, for books, files, etc.",1
7,不,bù,"no, not",1
8,不客气,bú kè qi,you are welcome,1
9,菜,cài,"dish, vegetable",1
10,茶,chá,tea,1
11,吃,chī,to eat,1
12,出租车,chū zū chē,taxi,1
13,大,dà,"big, great",1
14,打电话,dǎ diàn huà,to make a phone call,1
15,的,de,to form an attribute,1
16,点,diǎn,"point, dot, to nod, to click Measure, a little, a bit",1
17,电脑,diàn nǎo,computer,1
18,电视,diàn shì,TV(-set),1
19,电影,diàn yǐng,"movie, film",1
20,东西,dōng xi,thing,1
21,都,dōu,"all, both, all, both",1
22,读,dú,to read aloud,1
23,对不起,duì bu qǐ,"sorry, I'm sorry",1
24,多,duō,"much, many",1
25,多少,duō shao,"how many, how much",1
26,二,èr,2,1
27,儿子,ér zi,son,1
28,饭馆,fàn guǎn,restaurant,1
29,飞机,fēi jī,airplane,1
30,分钟,fēn zhōng,minute,1
31,高兴,gāo xìng,"happy, glad, cheerful",1
32,个,gè,"Measure, for almost everything",1
33,工作,gōng zuò,"job, to work",1
34,狗,gǒu,dog,1
35,汉语,hàn yǔ,Chinese language,1
36,好,hǎo,"good, nice",1
37,和,hé,"with, and",1
38,喝,hē,to drink,1
39,很,hěn,"very, quite",1
40,后面,hòu miàn,"rear, back, behind",1
41,回,huí,"to return, to answer, to reply Measure, for events of action",1
42,会,huì,"meeting, conference Auxiliary, can, to be able to",1
43,火车站,huǒ chē zhàn,train station,1
44,几,jǐ,"how many, several",1
45,家,jiā,"family, home, houshold Measure, for businesses, families",1
46,叫,jiào,"to be called, to call, to shout",1
47,今天,jīn tiān,today,1
48,九,jiǔ,9,1
49,开,kāi,"to open, to start, to drive (car, etc.)",1
50,看,kàn,"to see, to watch, to look at",1
51,看见,kàn jiàn,"to see, to catch sight of",1
52,块,kuài,"Measure, for a piece",1
53,来,lái,"to come, to arrive, ever since",1
54,老师,lǎo shī,teacher,1
55,了,le,indicating past or change,1
56,冷,lěng,cold,1
57,里,lǐ,"in, inside Measure, for 0.5 km",1
58,零,líng,0,1
59,六,liù,6,1
60,吗,ma,to form a question,1
61,妈妈,mā ma,mother,1
62,买,mǎi,to buy,1
63,猫,māo,cat,1
64,没,méi,not,1
65,没关系,méi guān xi,it doesn't matter,1
66,米饭,mǐ fàn,(cooked) rice,1
67,明天,míng tiān,tomorrow,1
68,名字,míng zi,name,1
69,那,nà,that,1
70,哪,nǎ,which,1
71,呢,ne,to build a question based on already mentioned subjects,1
72,能,néng,"Auxiliary, to be able to",1
73,你,nǐ,you (singular),1
74,年,nián,year,1
75,女儿,nǚ ér,daughter,1
76,朋友,péng you,friend,1
77,漂亮,piào liang,"pretty, beautiful",1
78,苹果,píng guǒ,apple,1
79,七,qī,7,1
80,钱,qián,money,1
81,前面,qián miàn,"ahead, in front",1
82,请,qǐng,"to ask, to invite, please",1
83,去,qù,to go,1
84,热,rè,"hot, warm",1
85,人,rén,"person, people",1
86,认识,rèn shi,"understanding, knowledge, awareness, to know, to recognize, to understand, to be familiar with",1
87,日,rì,"day, sun",1
88,三,sān,3,1
