No,Chinese,Pinyin,English,Level
151,吧,ba,indicating suggestion,2
152,白,bái,"white, blank, free of charge, for nothing",2
153,百,bǎi,100,2
154,帮助,bāng zhù,"assistance, help, to help, to assist",2
155,报纸,bào zhǐ,newspaper,2
156,比,bǐ,"than, used for comparison",2
157,别,bié,"to leave, to distinguish, other, another, don't",2
158,长,cháng,"length, long",2
159,唱歌,chàng gē,to sing,2
160,出,chū,"to go out, to exceed, to happen Measure, for dramas, plays, operas",2
161,船,chuán,"boat, ship",2
162,穿,chuān,to wear,2
163,次,cì,"order, sequence Measure, ""time(s)""",2
164,从,cóng,from,2
165,错,cuò,"mistake, error, wrong",2
166,大家,dà jiā,"everybody, all",2
167,打篮球,dǎ lán qiú,play basketball,2
168,但是,dàn shì,"but, however",2
169,到,dào,"to arrive, to reach, to, until, up to",2
170,得,de,used to link verb with adjective,2
171,等,děng,to wait,2
172,弟弟,dì di,younger brother,2
173,第一,dì yī,"first, number one",2
174,懂,dǒng,"to understand, to know",2
175,对,duì,"right, correct",2
176,房间,fáng jiān,room,2
177,非常,fēi cháng,very,2
178,服务员,fú wù yuán,"waiter, service personnel",2
179,高,gāo,"high, tall",2
180,告诉,gào su,to tell,2
181,哥哥,gē ge,older brother,2
182,给,gěi,to give,2
183,公共汽车,gōng gòng qì chē,bus,2
184,公斤,gōng jīn,"kilogram Measure, kg",2
185,公司,gōng sī,company,2
186,贵,guì,expensive,2
187,过,guo,indicating action in the past,2
188,还,hái,still,2
189,孩子,hái zi,child,2
190,号,hào,"number, day of month",2
191,好吃,hǎo chī,"tasty, delicious",2
192,黑,hēi,"black, dark",2
193,红,hóng,"dividend, red, popular, revlutionary",2
194,欢迎,huān yíng,welcome!,2
195,回答,huí dá,"answer, to answer, to reply",2
196,机场,jī chǎng,airport,2
197,鸡蛋,jī dàn,(chicken) egg,2
198,件,jiàn,"Measure, for events, things, clothes, etc.",2
199,教室,jiào shì,classroom,2
200,姐姐,jiě jie,older sister,2
201,介绍,jiè shào,"to introduce, to recommend",2
202,进,jìn,"to advance, to enter",2
203,近,jìn,"near, close",2
204,就,jiù,"only, already, with regard to, as soon as, right away, even if",2
205,觉得,jué de,"to think, to feel",2
206,咖啡,kā fēi,coffee,2
207,开始,kāi shǐ,"beginning, to begin",2
208,考试,kǎo shì,exam,2
209,课,kè,"class, lesson, course",2
210,可能,kě néng,"might, maybe Auxiliary, can",2
211,可以,kě yǐ,"Auxiliary, can, may, able to",2
212,快,kuài,"quick, rapid, soon, almost",2
213,快乐,kuài lè,happy,2
214,累,lèi,tired,2
215,离,lí,"to leave, to be away from",2
216,两,liǎng,"two, some Measure, 50 gram",2
217,路,lù,"road, path",2
218,旅游,lǚ yóu,"trip, jorney, to travel",2
219,卖,mài,to sell,2
220,慢,màn,slow,2
221,忙,máng,busy,2
222,每,měi,"each, per, all, each, every",2
223,妹妹,mèi mei,younger sister,2
224,门,mén,"door Measure, for lessons",2
225,男人,nán rén,"man, men",2
226,您,nín,"you (singular, polite)",2
227,牛奶,niú nǎi,cow milk,2
228,女人,nǚ rén,woman,2
229,旁边,páng biān,"beside, aside",2
