No,Chinese,Pinyin,English,Level
1201,唉,āi,uh (sigh),5
1202,爱护,ài hù,"to cherish, to take good care of",5
1203,爱惜,ài xī,"to cherish, to treasure",5
1204,爱心,ài xīn,tender feelings; affections,5
1205,岸,àn,"shore, beach, coast",5
1206,安慰,ān wèi,"comfort, consolation, to comfort, to console",5
1207,安装,ān zhuāng,"installation, to install, to mount",5
1208,把握,bǎ wò,"assurance, to grasp, to hold",5
1209,摆,bǎi,"pendulum, to put, to place, to arragne",5
1210,办理,bàn lǐ,"to handle, to conduct",5
1211,班主任,bān zhǔ rèn,teacher in charge of a class,5
1212,棒,bàng,"stick, club, strong, capable, good Measure, for legs of relay race",5
1213,傍晚,bàng wǎn,"towards evening, at nightfall",5
1214,薄,báo,thin,5
1215,宝贝,bǎo bèi,"darling, baby",5
1216,保持,bǎo chí,"to keep, to maintain, to preserve",5
1217,保存,bǎo cún,"to conserve, to keep, to save (IT)",5
1218,报告,bào gào,"report, speech, talk, to report",5
1219,宝贵,bǎo guì,"valuable, precious",5
1220,包裹,bāo guǒ,"parcel, package, to wrap up",5
1221,包含,bāo hán,"to contain, to emobdy, to include",5
1222,保留,bǎo liú,"reservation, to reserve, to hold back",5
1223,保险,bǎo xiǎn,"insurance, to insure, safe, secure",5
1224,包子,bāo zi,steamed stuffed bun,5
1225,背,bèi,"back, to learn by heart",5
1226,悲观,bēi guān,pessimistic,5
1227,背景,bèi jǐng,"background, context",5
1228,被子,bèi zi,quilt,5
1229,本科,běn kē,Bachelor course,5
1230,本领,běn lǐng,"skill, ability, capability",5
1231,本质,běn zhì,"essence, nature",5
1232,彼此,bǐ cǐ,"each other, one another",5
1233,毕竟,bì jìng,"after all, in the end",5
1234,比例,bǐ lì,"proportion, scale",5
1235,避免,bì miǎn,"to avoid, to prevent",5
1236,必然,bì rán,"inevitable, certain",5
1237,比如,bǐ rú,for example,5
1238,必需,bì xū,"to really need, to be essential, must",5
1239,必要,bì yào,"necessary, essential",5
1240,便,biàn,"to relieve oneself, convenient, handy, then, in that case",5
1241,编辑,biān jí,"editor, compiler, to edit, to compile",5
1242,辩论,biàn lùn,"debate, argument, to debate, to argue",5
1243,鞭炮,biān pào,firecrackers,5
1244,标点,biāo diǎn,"punctuation, punctuation mark",5
1245,表面,biǎo miàn,"surface, outside, appearance",5
1246,表明,biǎo míng,"to show, to indicate, to make clear",5
1247,表情,biǎo qíng,expression,5
1248,表现,biǎo xiàn,"to show, to express, to display",5
1249,标志,biāo zhì,"symbol, sign, to symbolize, to indicate",5
1250,丙,bǐng,third(ly),5
1251,病毒,bìng dú,virus,5
1252,玻璃,bō li,glass,5
1253,博物馆,bó wù guǎn,museum,5
