No,Chinese,Pinyin,English,Level
2501,挨,ái,"to endure, to suffer",6
2502,爱不释手,ài bù shì shǒu,"not wanting to give sth. out of one's hand, to fondle admiringly",6
2503,爱戴,ài dài,to love and respect,6
2504,暧昧,ài mèi,"ambiguous, equivocal, dubious",6
2505,哎哟,āi yō,"ow, ouch, ah",6
2506,癌症,ái zhèng,cancer,6
2507,案件,àn jiàn,"legal case, case",6
2508,安居乐业,ān jū lè yè,to live in peace and work happily,6
2509,案例,àn lì,case (law),6
2510,按摩,àn mó,"massage, to massage",6
2511,安宁,ān níng,"peace, peaceful, tranquil",6
2512,暗示,àn shì,"hint, suggestion, to hint, to suggest",6
2513,安详,ān xiáng,"composed, serene",6
2514,安置,ān zhì,"to find a place for, to arrange for",6
2515,昂贵,áng guì,"expensive, costly",6
2516,熬,áo,"to endure, to suffer, to boil for a long time",6
2517,奥秘,ào mì,"mystery, secret",6
2518,凹凸,āo tū,"bumpy, uneven",6
2519,扒,bā,"to hold on to, to climb, to strip off",6
2520,疤,bā,scar,6
2521,巴不得,bā bu de,"to be eager to, to look forward to",6
2522,霸道,bà dào,"to rule by might, overbearing, dictatorial, arbitrary",6
2523,罢工,bà gōng,"strike, to go on strike",6
2524,把关,bǎ guān,"to check on, to guard a pass",6
2525,巴结,bā jie,"to flatter, to fawn",6
2526,拔苗助长,bá miáo zhù zhǎng,to spoil things through a wish for quick results,6
2527,把手,bǎ shou,"handle, knob",6
2528,把戏,bǎ xì,"acrobatics, cheap trick, jugglery",6
2529,掰,bāi,to break with both hands,6
2530,拜访,bài fǎng,"to pay a visit, to call on",6
2531,百分点,bǎi fēn diǎn,percentage point,6
2532,败坏,bài huài,"to ruin, to corrupt, to undermine",6
2533,拜年,bài nián,to wish a Happy New Year,6
2534,摆脱,bǎi tuō,"to get rid of, to break out of, to free oneself from",6
2535,拜托,bài tuō,Please!,6
2536,版本,bǎn běn,"version, release",6
2537,颁布,bān bù,"to issue, to promulgate",6
2538,颁发,bān fā,"to award, to issue",6
2539,伴侣,bàn lǚ,"partner, mate",6
2540,伴随,bàn suí,"to accompany, to follow",6
2541,半途而废,bàn tú ér fèi,to give up halfway,6
2542,斑纹,bān wén,"stripe, streak, maculation",6
2543,扮演,bàn yǎn,"to play the role of, to act",6
2544,磅,bàng,"Measure, for pound",6
2545,绑架,bǎng jià,"kidnapping, to kidnap",6
2546,榜样,bǎng yàng,"example, model",6
2547,包庇,bāo bì,"to shield, to cover up",6
2548,报仇,bào chóu,"revenge, to revenge, to avenge",6
2549,报酬,bào chou,"reward, pay, remuneration",6
2550,报答,bào dá,"to pay back, to repay",6
2551,报到,bào dào,"to check in, to register, to report for duty",6
2552,爆发,bào fā,"to erupt, to break out, to explode",6
2553,报复,bào fù,"revenge, retaliation, to revenge, to retaliate",6
2554,抱负,bào fù,"ambition, aspiration",6
2555,包袱,bāo fu,"burden, load",6
